TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
HOMICIDIO;07:34;CIDADE DA ESPERANÇA;AV PERIMENTRAL SUL;MASCULINO;NEGRA;17;NI;NI;ARMA DE FOGO;julho;3;domingo;ADOLESCENTE;8;MATUTINO
HOMICIDIO;07:30;CIDADE DA ESPERANÇA;AV. PARAIBA;MASCULINO;PARDA;24;SEM PROFISSAO;NI;ARMA DE FOGO;julho;31;domingo;ADULTO;8;MATUTINO
HOMICIDIO;08:37;CIDADE DA ESPERANÇA;R PERIMETRAL LESTE, FEIRA DA ESPERANCA, TROCA-TROCA;MASCULINO;NEGRA;31;FEIRANTE;NI;ARMA DE FOGO;fevereiro;28;domingo;ADULTO;9;MATUTINO
HOMICIDIO;13:50;CIDADE DA ESPERANÇA;RUA PERIMENTAL SUL ;MASCULINO;PARDA;27;NI;NI;ARMA DE FOGO;setembro;8;quinta-feira;ADULTO;14;VESPERTINO
HOMICIDIO;11:16;CIDADE DA ESPERANÇA;RUA SAMPAIO CORREIA/EM FRENTE AO PORTAO DO DETRAN;MASCULINO;NEGRA;24;EX DETENTO TRABALHADOR;NI;ARMA DE FOGO;maio;1;domingo;ADULTO;11;MATUTINO
HOMICIDIO;22:30;CIDADE NOVA;RUA SAMPAIO CORREIA;MASCULINO;PARDA;39;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;agosto;26;sexta-feira;ADULTO;23;NOTURNO
HOMICIDIO;08:55;CIDADE NOVA;AV NORTE COM SAMPAIO CORREIA ;MASCULINO;PARDA;30;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;setembro;12;segunda-feira;ADULTO;9;MATUTINO
FEMINICIDIO;10:18;CIDADE NOVA;ENCONTRADA NO FINAL DA RUA SÃO SEBASTIÃO EM CIMA DO MORRO;FEMININO;BRANCA;26;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;junho;13;segunda-feira;ADULTO;10;MATUTINO
LESAO CORPORAL SEGUIDA DE MORTE;07:01;CIDADE NOVA;FAVELA DO DETRAN;MASCULINO;PARDA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;25;quinta-feira;ADULTO;7;MATUTINO
HOMICIDIO;17:52;CIDADE NOVA;R LARANJAL;MASCULINO;NEGRA;35;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;2;terça-feira;ADULTO;18;VESPERTINO
HOMICIDIO;19:55;CIDADE NOVA;R SEN JOSE DE ARIMATEIA,126, CIDADE NOVA;MASCULINO;NEGRA;36;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;19;sábado;ADULTO;20;NOTURNO
HOMICIDIO;07:19;CIDADE NOVA;R GLENIO SA;MASCULINO;PARDA;34;TECNICO EM ADESIVOS;ENSINO MEDIO COMPLETO;ARMA DE FOGO;março;26;sábado;ADULTO;7;MATUTINO
LESAO CORPORAL SEGUIDA DE MORTE;20:30;CIDADE NOVA;R LARANJAL;MASCULINO;NEGRA;19;MECANICO(A);ENSINO MEDIO COMPLETO;ARMA DE FOGO;março;10;quinta-feira;ADULTO;21;NOTURNO
HOMICIDIO;09:44;CIDADE NOVA;RUA LARANJAL;MASCULINO;PARDA;16;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;junho;29;quarta-feira;ADOLESCENTE;10;MATUTINO
HOMICIDIO;21:06;CIDADE NOVA;RUA MAX SANTANA, EM FRENTE AO Nº, 4 B, NOVA CIDADE;MASCULINO;PARDA;32;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;abril;30;sábado;ADULTO;21;NOTURNO
HOMICIDIO;20:11;CIDADE NOVA;TV SANTO AMARO, 907-A;MASCULINO;NEGRA;17;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;maio;28;sábado;ADOLESCENTE;20;NOTURNO
HOMICIDIO;09:40;CIDADE NOVA;AV SOLANGE NUNES ;MASCULINO;PARDA;24;SEM PROFISSAO;NI;ARMA DE FOGO;agosto;4;quinta-feira;ADULTO;10;MATUTINO
HOMICIDIO;20:04;CIDADE NOVA;R LARANJAL;MASCULINO;NEGRA;19;DESOCUPADO(A);NI;ARMA DE FOGO;março;27;domingo;ADULTO;20;NOTURNO
HOMICIDIO;23:00;CIDADE NOVA;RUA BELA VISTA;MASCULINO;PARDA;20;SEM PROFISSAO;NI;ARMA DE FOGO;agosto;8;segunda-feira;ADULTO;23;NOTURNO
HOMICIDIO;20:33;CIDADE NOVA;RUA BELEM CAMARA;MASCULINO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;maio;15;domingo;ADOLESCENTE;21;NOTURNO
HOMICIDIO;01:12;CIDADE NOVA;RUA MARQUES DE SANTANA;MASCULINO;NEGRA;19;NI;NI;ARMA DE FOGO;junho;18;sábado;ADULTO;1;NOTURNO
HOMICIDIO;03:19;CIDADE NOVA;RUA PINHEIRO II;MASCULINO;PARDA;28;NI;NI;ARMA DE FOGO;novembro;17;quinta-feira;ADULTO;3;MADRUGADA
HOMICIDIO;18:50;CIDADE NOVA;RUA SEBASTIAO PINHEIRO;MASCULINO;PARDA;20;NI;NI;ARMA DE FOGO;setembro;18;domingo;ADULTO;19;NOTURNO
HOMICIDIO;15:10;CIDADE NOVA;TV DOS POTIGUARES - PROX A ESCOLA CAMARA CASCUDO;MASCULINO;PARDA;20;AUX. TOPOGRAFIA;NI;ARMA DE FOGO;setembro;28;quarta-feira;ADULTO;15;VESPERTINO
HOMICIDIO;21:20;CIDADE NOVA;TV MANOEL DE CASTRO;MASCULINO;PARDA;23;SEM PROFISSAO;NI;ARMA DE FOGO;outubro;19;quarta-feira;ADULTO;21;NOTURNO
HOMICIDIO;16:24;CIDADE NOVA;RUA SANTO AMARO , S/N;MASCULINO;PARDA;36;NI;NI;ASFIXIA MECANICA PROVOCADA;setembro;10;sábado;ADULTO;16;VESPERTINO
HOMICIDIO;05:34;CIDADE NOVA;RUA SAO VICENTE Nº 99;MASCULINO;PARDA;38;DESEMPREGADO;NI;ASFIXIA MECANICA PROVOCADA;novembro;26;sábado;ADULTO;6;MADRUGADA
HOMICIDIO;11:57;DIX-SEPT ROSADO;AV NASCIMENTO DE CASTRO;MASCULINO;PARDA;47;CABELEIREIRO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;fevereiro;15;segunda-feira;ADULTO;12;MATUTINO
HOMICIDIO;18:03;DIX-SEPT ROSADO;AV INT MARIO CAMARA;MASCULINO;PARDA;24;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;25;sexta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;04:30;DIX-SEPT ROSADO;AV CEL ESTEVAM COM AMINTAS BARROS;MASCULINO;PARDA;20;GARCOM;ENSINO MEDIO COMPLETO;ARMA DE FOGO;abril;13;quarta-feira;ADULTO;5;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;02:30;DIX-SEPT ROSADO;AV LIMA E SILVA - PROXIMO A LAGOA DE SÃO CONRADO;MASCULINO;PARDA;24;MARCENEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;agosto;5;sexta-feira;ADULTO;3;MADRUGADA
HOMICIDIO;07:24;DIX-SEPT ROSADO;RUA ANTONIO BASILIO;MASCULINO;PARDA;23;MARCENEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;junho;19;domingo;ADULTO;7;MATUTINO
HOMICIDIO;18:44;FELIPE CAMARÃO;R JORNALISTA ROMULO MAIORANA, 107;MASCULINO;NEGRA;41;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;março;16;quarta-feira;ADULTO;19;NOTURNO
HOMICIDIO;23:31;FELIPE CAMARÃO;R TUCUNARE, CJ PRAIA MAR;MASCULINO;NEGRA;23;LAVADOR DE CARRO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;março;13;domingo;ADULTO;24;NOTURNO
HOMICIDIO;18:45;FELIPE CAMARÃO;RUA DO FIO , S/N;MASCULINO;PARDA;31;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;agosto;7;domingo;ADULTO;19;NOTURNO
HOMICIDIO;20:30;FELIPE CAMARÃO;RUA PROJETADA;MASCULINO;PARDA;18;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;agosto;27;sábado;ADULTO;21;NOTURNO
HOMICIDIO;23:30;FELIPE CAMARÃO;CRUZAMENTO RUA NSA SRA DO LIVRAMENTO COM RUA JOAO VICENTE;MASCULINO;PARDA;38;SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;dezembro;17;sábado;ADULTO;24;NOTURNO
HOMICIDIO;21:10;FELIPE CAMARÃO;R DA FE;MASCULINO;PARDA;42;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;21;segunda-feira;ADULTO;21;NOTURNO
HOMICIDIO;22:12;FELIPE CAMARÃO;R NSA SRA DO ROSARIO;MASCULINO;PARDA;47;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;7;domingo;ADULTO;22;NOTURNO
HOMICIDIO;19:00;FELIPE CAMARÃO;R PAI CELESTIAL, VIZINHO AO N° 50 A;MASCULINO;PARDA;17;AUXILIAR DE SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;janeiro;9;sábado;ADOLESCENTE;19;NOTURNO
HOMICIDIO;11:57;FELIPE CAMARÃO;RUA JOSE DA BARRA N º239;MASCULINO;PARDA;30;GESSEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;novembro;30;quarta-feira;ADULTO;12;MATUTINO
HOMICIDIO;23:51;FELIPE CAMARÃO;RUA LEONARDO GAMA;MASCULINO;PARDA;24;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;maio;25;quarta-feira;ADULTO;24;NOTURNO
HOMICIDIO;16:19;FELIPE CAMARÃO;RUA PEIXE BOI;MASCULINO;PARDA;18;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;junho;26;domingo;ADULTO;16;VESPERTINO
HOMICIDIO;11:28;FELIPE CAMARÃO;TV SAO FRANCISCO;MASCULINO;NEGRA;20;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;abril;26;terça-feira;ADULTO;11;MATUTINO
HOMICIDIO;10:59;FELIPE CAMARÃO;TV TODOS OS SANTOS;MASCULINO;NEGRA;35;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;13;sábado;ADULTO;11;MATUTINO
HOMICIDIO;22:45;FELIPE CAMARÃO;R OESTE, EM FRENTE AO 712;MASCULINO;PARDA;30;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;OBJETO CONTUNDENTE;fevereiro;24;quarta-feira;ADULTO;23;NOTURNO
